"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,"0.6",-1,1,4,0,2,1,26831,111898059,26831,128524620,26831,111627508,26831,176126399
256,500,375,-2,"0.6",-1,1,4,0,2,2,26831,111864002,26831,174352861,26831,111627508,26831,176126399
256,500,375,-2,"0.6",-1,1,4,0,2,3,26831,111903607,26831,176027264,26831,111627508,26831,176126399
256,500,375,-2,"0.6",-1,1,4,0,2,4,26831,111820230,26831,130287950,26831,111627508,26831,176126399
256,500,375,-2,"0.6",-1,1,4,0,3,1,26831,267011613,26831,284579164,26831,266704363,26831,332190334
256,500,375,-2,"0.6",-1,1,4,0,3,2,26831,266946442,26831,330444605,26831,266704363,26831,332190334
256,500,375,-2,"0.6",-1,1,4,0,3,3,26831,266980947,26831,332094543,26831,266704363,26831,332190334
256,500,375,-2,"0.6",-1,1,4,0,3,4,26831,266979293,26831,286425499,26831,266704363,26831,332190334
256,500,375,-2,"0.6",-1,1,4,0,4,1,26831,419111521,26831,439003163,26831,418899093,26831,486664208
256,500,375,-2,"0.6",-1,1,4,0,4,2,26831,419110454,26831,484914846,26831,418899093,26831,486664208
256,500,375,-2,"0.6",-1,1,4,0,4,3,26831,419146020,26831,486568788,26831,418899093,26831,486664208
256,500,375,-2,"0.6",-1,1,4,0,4,4,26831,419111528,26831,440848741,26831,418899093,26831,486664208
256,500,375,-2,"0.6",-1,1,4,0,5,1,26831,573825532,26831,593798527,26831,573790414,26831,641402368
256,500,375,-2,"0.6",-1,1,4,0,5,2,26831,573884699,26831,639690743,26831,573790414,26831,641402368
256,500,375,-2,"0.6",-1,1,4,0,5,3,26831,573828741,26831,641314802,26831,573790414,26831,641402368
256,500,375,-2,"0.6",-1,1,4,0,5,4,26831,573825103,26831,595601712,26831,573790414,26831,641402368
256,500,375,-2,"0.6",-1,1,4,0,6,1,26832,1061743,26832,20550993,26832,783770,26832,68207333
256,500,375,-2,"0.6",-1,1,4,0,6,2,26832,1137405,26832,66451625,26832,783770,26832,68207333
256,500,375,-2,"0.6",-1,1,4,0,6,3,26832,1135406,26832,68125352,26832,783770,26832,68207333
256,500,375,-2,"0.6",-1,1,4,0,6,4,26832,1137047,26832,22451889,26832,783770,26832,68207333
256,500,375,-2,"0.6",-1,1,4,0,7,1,26832,217970943,26832,237419362,26832,217731479,26832,285064169
256,500,375,-2,"0.6",-1,1,4,0,7,2,26832,217969989,26832,283259626,26832,217731479,26832,285064169
256,500,375,-2,"0.6",-1,1,4,0,7,3,26832,218001799,26832,284968982,26832,217731479,26832,285064169
256,500,375,-2,"0.6",-1,1,4,0,7,4,26832,217937561,26832,239257743,26832,217731479,26832,285064169
256,500,375,-2,"0.6",-1,1,4,0,8,1,26832,470021362,26832,489472692,26832,469731171,26832,537102486
256,500,375,-2,"0.6",-1,1,4,0,8,2,26832,470032458,26832,535333814,26832,469731171,26832,537102486
256,500,375,-2,"0.6",-1,1,4,0,8,3,26832,470020966,26832,537005329,26832,469731171,26832,537102486
256,500,375,-2,"0.6",-1,1,4,0,8,4,26832,469947717,26832,491291838,26832,469731171,26832,537102486
256,500,375,-2,"0.6",-1,1,4,0,9,1,26832,653952816,26832,672931532,26832,653590534,26832,720538826
256,500,375,-2,"0.6",-1,1,4,0,9,2,26832,653958124,26832,718783988,26832,653590534,26832,720538826
256,500,375,-2,"0.6",-1,1,4,0,9,3,26832,653886238,26832,720451854,26832,653590534,26832,720538826
256,500,375,-2,"0.6",-1,1,4,0,9,4,26832,653952666,26832,674745356,26832,653590534,26832,720538826
256,500,375,-2,"0.6",-1,1,4,0,10,1,26832,808820042,26832,830059906,26832,808522284,26832,877663642
256,500,375,-2,"0.6",-1,1,4,0,10,2,26832,808815021,26832,875895862,26832,808522284,26832,877663642
256,500,375,-2,"0.6",-1,1,4,0,10,3,26832,808815199,26832,877579060,26832,808522284,26832,877663642
256,500,375,-2,"0.6",-1,1,4,0,10,4,26832,808753458,26832,831866218,26832,808522284,26832,877663642
